orgnr;navn
994151010;0 - 6 ULLENSAKERGATA BARNEHAGE AS
999286976;0 - 6 VÅLERENGGATA BARNEHAGE AS
929431650;0186 BARDRIFT AS
925273236;1 HJELPENDE HÅND AS
929032470;1 OSLO RENHOLDSSERVICE AS
998781558;10/10 TEKSTILTRYKKERI AS
918616381;123 FLYTTING & TRANSPORT AS
987428317;180.NO NUMMEROPPLYSNINGEN AS
930459615;1850 NUMMEROPPLYSNINGEN AS
918124934;1881 GROUP AS
935435331;1INCH INNREDNING AS
995453975;24FITNESS AS
832950602;2CE NAIL BEAUTY AS
934936124;2IZII AS
878703812;3 STEP IT AS
921934092;4B ARKITEKTER AS
989298291;4HUMAN QM365 AS
897392232;4SERVICE GRUPPEN AS
934910788;7 DAYS MINI MARKED AS
922361754;8 FISH SUSHI AS
931474375;852YUMCHA AS
929624483;8586 SUSHI & WOK AS
928470679;90 GRADER AS
989890832;99X SOLUTIONS AS
936488358;9COELEKTRO AS
990145687;A  TIL  Å  SERVICE  AS
989575716;A BYGG ENTREPRENØR AS
879946492;A C SMITH & CO AS
830854142;A DAY'S MARCH SHIRTS & STAPLES NORWAY AS
980026035;A LA CARTE PRODUKTER AS
952257145;A T KEARNEY AS
998246202;A-B BYGG OG MALERTJENESTE AS
961029775;A-BAD AS
932467771;A-LI DRONNINGEN AS
910082620;A-MØBLER AS
913864581;A-TEAM TRAFIKKSKOLE AS
918272518;A-Z BYGGESERVICE IDCZAK AS
930327581;A. A DAGLIGVARE AS
